method,metric,estimate,lower_95,upper_95,probability_positive,replicates
auto_theta,mse,-0.3584916578526579,-1.3875621773262004,0.3149074888574384,0.20825,4000
chronos,mse,0.3526236339048614,0.15306542132022427,0.5632175318653921,0.9995,4000
drift,mse,-1.3857113670389458,-2.802871275401542,-0.21874609061964048,0.00825,4000
insample_router,mse,0.040044791338514074,0.00431067434592679,0.09322395886775268,0.98675,4000
last_value,mse,-0.8878612287050955,-1.9955634838682832,0.002040853953226041,0.02625,4000
oracle_selector,mse,0.07635078693668794,0.04478460482993153,0.14065981033060557,1.0,4000
pir_adapter,mse,0.0016076814945408025,-0.07291548047701642,0.049145595544984204,0.4705,4000
raft_adapter,mse,-0.2739784790499641,-0.8645825505179562,0.17027798932212332,0.1245,4000
random_control,mse,-0.14760672932968344,-0.3527190432375182,-0.03089465356472683,0.0,4000
seasonal_naive,mse,-0.17616169207657012,-0.8569779611775833,0.3561575696400119,0.39475,4000
shuffled_control,mse,-0.1662337092403014,-0.3605160609864391,-0.047325294859098185,0.00025,4000
sv1_xfit_router,mse,0.012479276496508606,-0.0030810659059164703,0.04082886716430144,0.9345,4000
xfit_no_router,mse,-0.17475920911735013,-0.4488070100316396,-0.02728741808799066,0.006,4000
sv1_xfit_router,mae,0.010644171951905358,0.0007213075683168332,0.02445814694244412,0.98375,4000
sv1_xfit_router,mase,0.0021889637353330604,-0.026164685976902583,0.02348651955060404,0.61675,4000
