role,method,mse,mae,rmse,mase,rmsse,smape,wape,relative_mse_reduction
development,auto_theta,51.24304267609002,1.575143924340456,1.9500838806712981,10483.330295840211,5.656306639252927,0.47302582286581824,0.36008578127756075,-0.42793732872827894
development,chronos,61.827512386648685,1.5688222204155557,1.955269826138484,10942.836162729032,5.521332533608389,0.4327531004282409,0.290430482162234,0.13227394398933906
development,drift,78.07882956280037,2.0034417368318564,2.389605104581063,10484.953757686108,7.059423233558761,0.5345829972685787,0.4289919107592116,-1.1147555256052093
development,insample_router,182.55509024895292,2.3758232357760956,2.713807751181802,10637.261141608542,5.830933494295823,0.5782861939380275,0.3815402224280867,0.041269043657438054
development,last_value,82.82266768787063,1.924021755749808,2.3275860939512656,10484.797449110125,6.968412701324593,0.48333042582277497,0.39626661123574364,-0.9189366455428598
development,oracle_selector,181.912722850479,2.3492245891892116,2.684716942157155,10637.329347106492,5.9220278709213385,0.5719700846108511,0.3730479281281628,0.06664883461251843
development,patchtst,183.3684813308907,2.41295388538109,2.751020747794972,10637.504871393186,6.054908037353206,0.5857375570813773,0.38815759814103623,0.0
development,pir_adapter,182.64349918224718,2.4142990181055626,2.7612324345062498,260839.39652401712,36.73345689840852,0.6152412702962838,0.39612928940815245,-0.028641696756096735
development,raft_adapter,82.33179638123188,1.8661428113520242,2.2513669992499743,208877.17824205692,30.92718701217141,0.5614667495063946,0.4000753005484371,-0.08326089420547715
development,random_control,183.68293767930297,2.514509847353944,2.8597669341972516,383170.30939933204,54.736752834198704,0.6417085160773656,0.4500646485244622,-0.13230134288436085
development,seasonal_naive,74.0934809818192,1.6791469075873842,2.1214842785235892,10483.315287501102,5.573211395410881,0.42106877767368733,0.3284312583173684,0.00554577960426772
development,shuffled_control,183.22403476200748,2.520182745310296,2.8726429285271613,361620.2176639518,57.1214422013493,0.6506335932294172,0.4579666022785064,-0.16432867081110425
development,sv1_xfit_router,182.18882042678626,2.398400100951327,2.7402153182900992,10637.502016078903,6.054629539294384,0.5872126559868647,0.38564596561498815,0.009034271627619139
development,xfit_no_router,182.3596915457013,2.474849901656893,2.835525961913873,409952.04254836903,55.89779535030781,0.6526693207838962,0.42570849866007965,-0.21140916153204534
